"","DIA.Open","DIA.High","DIA.Low","DIA.Close","DIA.Volume","DIA.WAP","DIA.hasGaps","DIA.Count"
"2020-01-21 09:04:00",292.91,292.91,292.86,292.9,33,292.885,0,31
"2020-01-21 09:05:00",292.9,292.96,292.87,292.91,13,292.925,0,10
"2020-01-21 09:06:00",292.9,292.9,292.85,292.89,22,292.89,0,17
"2020-01-21 09:07:00",292.87,292.9,292.82,292.88,94,292.866,0,35
"2020-01-21 09:08:00",292.93,292.93,292.87,292.9,18,292.896,0,18
"2020-01-21 09:09:00",292.94,292.95,292.84,292.87,40,292.899,0,38
"2020-01-21 09:10:00",292.83,292.84,292.78,292.81,93,292.804,0,79
"2020-01-21 09:11:00",292.81,292.81,292.76,292.76,57,292.792,0,38
"2020-01-21 09:12:00",292.75,292.76,292.72,292.72,29,292.752,0,19
"2020-01-21 09:13:00",292.74,292.74,292.69,292.7,45,292.714,0,18
"2020-01-21 09:14:00",292.7,292.75,292.68,292.68,81,292.701,0,33
"2020-01-21 09:15:00",292.65,292.65,292.62,292.62,42,292.623,0,12
"2020-01-21 09:16:00",292.59,292.59,292.5,292.5,45,292.555,0,20
"2020-01-21 09:17:00",292.5,292.52,292.46,292.48,82,292.495,0,42
"2020-01-21 09:18:00",292.48,292.57,292.42,292.42,85,292.512,0,58
"2020-01-21 09:19:00",292.41,292.43,292.37,292.43,97,292.387,0,63
"2020-01-21 09:20:00",292.37,292.41,292.35,292.36,70,292.373,0,31
"2020-01-21 09:21:00",292.32,292.4,292.22,292.4,109,292.288,0,77
"2020-01-21 09:22:00",292.33,292.42,292.32,292.41,93,292.371,0,27
"2020-01-21 09:23:00",292.4,292.43,292.4,292.41,14,292.412,0,11
"2020-01-21 09:24:00",292.38,292.4,292.35,292.35,55,292.367,0,16
"2020-01-21 09:25:00",292.32,292.33,292.27,292.31,110,292.302,0,34
"2020-01-21 09:26:00",292.3,292.41,292.29,292.41,84,292.352,0,41
"2020-01-21 09:27:00",292.43,292.55,292.43,292.54,70,292.514,0,43
"2020-01-21 09:28:00",292.52,292.56,292.51,292.56,38,292.551,0,19
"2020-01-21 09:29:00",292.57,292.62,292.56,292.62,24,292.587,0,22
"2020-01-21 09:30:00",292.57,292.6,292.55,292.59,72,292.585,0,32
"2020-01-21 09:31:00",292.62,292.75,292.62,292.64,240,292.657,0,129
"2020-01-21 09:32:00",292.64,292.67,292.62,292.62,147,292.65,0,39
"2020-01-21 09:33:00",292.64,292.68,292.63,292.63,97,292.651,0,20
"2020-01-21 09:34:00",292.64,292.64,292.57,292.57,67,292.601,0,27
"2020-01-21 09:35:00",292.58,292.67,292.58,292.67,19,292.61,0,12
"2020-01-21 09:36:00",292.68,292.7,292.67,292.7,56,292.682,0,20
"2020-01-21 09:37:00",292.69,292.71,292.68,292.71,87,292.692,0,20
"2020-01-21 09:38:00",292.7,292.73,292.64,292.64,90,292.682,0,18
"2020-01-21 09:39:00",292.65,292.66,292.6,292.61,57,292.617,0,23
"2020-01-21 09:40:00",292.61,292.62,292.58,292.61,12,292.601,0,7
"2020-01-21 09:41:00",292.63,292.66,292.59,292.66,372,292.607,0,120
"2020-01-21 09:42:00",292.67,292.67,292.57,292.58,18,292.624,0,13
"2020-01-21 09:43:00",292.54,292.54,292.48,292.49,26,292.498,0,14
"2020-01-21 09:44:00",292.53,292.57,292.5,292.5,13,292.53,0,9
"2020-01-21 09:45:00",292.49,292.53,292.48,292.52,30,292.496,0,15
"2020-01-21 09:46:00",292.53,292.54,292.53,292.54,3,292.533,0,3
"2020-01-21 09:47:00",292.47,292.47,292.46,292.46,15,292.463,0,3
"2020-01-21 09:48:00",292.45,292.48,292.45,292.47,11,292.461,0,4
"2020-01-21 09:49:00",292.45,292.48,292.44,292.48,30,292.452,0,15
"2020-01-21 09:50:00",292.49,292.49,292.4,292.4,11,292.441,0,8
"2020-01-21 09:51:00",292.4,292.4,292.35,292.36,220,292.359,0,58
"2020-01-21 09:52:00",292.34,292.34,292.32,292.32,15,292.328,0,8
"2020-01-21 09:53:00",292.32,292.39,292.32,292.38,17,292.35,0,10
"2020-01-21 09:54:00",292.34,292.42,292.34,292.41,23,292.37,0,22
"2020-01-21 09:55:00",292.4,292.5,292.4,292.49,39,292.472,0,14
"2020-01-21 09:56:00",292.5,292.5,292.42,292.42,18,292.471,0,10
"2020-01-21 09:57:00",292.37,292.38,292.34,292.35,20,292.356,0,8
"2020-01-21 09:58:00",292.35,292.4,292.33,292.33,45,292.362,0,18
"2020-01-21 09:59:00",292.31,292.35,292.28,292.28,21,292.311,0,15
"2020-01-21 10:00:00",292.28,292.3,292.24,292.25,14,292.273,0,7
"2020-01-21 10:01:00",292.32,292.39,292.32,292.39,14,292.348,0,10
"2020-01-21 10:02:00",292.33,292.34,292.29,292.34,28,292.322,0,11
"2020-01-21 10:03:00",292.37,292.48,292.37,292.48,21,292.409,0,10
"2020-01-21 10:04:00",292.5,292.54,292.47,292.52,50,292.505,0,34
"2020-01-21 10:05:00",292.55,292.55,292.55,292.55,16,292.55,0,14
"2020-01-21 10:06:00",292.5,292.63,292.49,292.62,58,292.566,0,28
"2020-01-21 10:07:00",292.61,292.67,292.6,292.63,19,292.652,0,12
"2020-01-21 10:08:00",292.65,292.65,292.61,292.63,27,292.623,0,11
"2020-01-21 10:09:00",292.57,292.57,292.57,292.57,10,292.57,0,8
"2020-01-21 10:10:00",292.57,292.6,292.54,292.6,19,292.569,0,12
"2020-01-21 10:11:00",292.63,292.63,292.62,292.63,24,292.624,0,11
"2020-01-21 10:12:00",292.62,292.68,292.6,292.68,8,292.636,0,7
"2020-01-21 10:13:00",292.68,292.72,292.68,292.68,25,292.704,0,12
"2020-01-21 10:14:00",292.67,292.71,292.67,292.7,7,292.685,0,6
"2020-01-21 10:15:00",292.72,292.74,292.7,292.74,33,292.721,0,22
"2020-01-21 10:16:00",292.71,292.76,292.69,292.74,83,292.723,0,58
"2020-01-21 10:17:00",292.75,292.83,292.75,292.8,75,292.795,0,33
"2020-01-21 10:18:00",292.8,292.8,292.76,292.79,24,292.778,0,14
"2020-01-21 10:19:00",292.81,292.84,292.81,292.82,61,292.824,0,11
"2020-01-21 10:20:00",292.86,292.87,292.83,292.85,29,292.85,0,21
"2020-01-21 10:21:00",292.84,292.91,292.84,292.91,21,292.881,0,10
"2020-01-21 10:22:00",292.88,292.88,292.87,292.88,3,292.878,0,3
"2020-01-21 10:23:00",292.84,292.85,292.81,292.82,36,292.824,0,12
"2020-01-21 10:24:00",292.82,292.85,292.81,292.83,33,292.824,0,26
"2020-01-21 10:25:00",292.81,292.81,292.79,292.79,5,292.802,0,4
"2020-01-21 10:26:00",292.74,292.78,292.72,292.76,19,292.739,0,13
"2020-01-21 10:27:00",292.78,292.86,292.78,292.85,13,292.834,0,9
"2020-01-21 10:28:00",292.86,292.87,292.84,292.87,8,292.857,0,6
"2020-01-21 10:29:00",292.87,292.89,292.86,292.87,31,292.872,0,26
"2020-01-21 10:30:00",292.89,292.92,292.88,292.89,15,292.907,0,10
"2020-01-21 10:31:00",292.9,292.9,292.89,292.9,2,292.898,0,1
"2020-01-21 10:32:00",292.91,292.93,292.9,292.93,37,292.918,0,22
"2020-01-21 10:33:00",292.94,292.98,292.94,292.95,36,292.952,0,20
"2020-01-21 10:34:00",292.95,292.95,292.91,292.92,20,292.943,0,7
"2020-01-21 10:35:00",292.88,292.9,292.85,292.9,64,292.876,0,11
"2020-01-21 10:36:00",292.91,292.93,292.88,292.88,10,292.902,0,9
"2020-01-21 10:37:00",292.91,292.93,292.91,292.93,11,292.922,0,11
"2020-01-21 10:38:00",292.93,292.94,292.89,292.94,27,292.911,0,22
"2020-01-21 10:39:00",292.92,292.94,292.92,292.94,14,292.921,0,3
"2020-01-21 10:40:00",292.96,293.11,292.96,293.01,209,293.051,0,112
"2020-01-21 10:41:00",293.01,293.05,293,293.05,36,293.019,0,23
"2020-01-21 10:42:00",293.04,293.04,293.03,293.04,18,293.039,0,8
"2020-01-21 10:43:00",293.06,293.07,293.01,293.01,34,293.056,0,20
"2020-01-21 10:44:00",293.01,293.04,293.01,293.01,24,293.024,0,24
"2020-01-21 10:45:00",293.01,293.01,293.01,293.01,0,293.01,0,0
"2020-01-21 10:46:00",293.04,293.07,293.04,293.06,29,293.052,0,16
"2020-01-21 10:47:00",293.07,293.09,293,293.03,34,293.051,0,19
"2020-01-21 10:48:00",292.98,292.98,292.98,292.98,20,292.98,0,14
"2020-01-21 10:49:00",293,293.06,293,293.06,12,293.047,0,5
"2020-01-21 10:50:00",293.08,293.09,293.06,293.06,11,293.071,0,8
"2020-01-21 10:51:00",293.08,293.16,293.08,293.16,50,293.119,0,19
